run_name,dataset,model,think_mode,task_id,benchmark,group,language,status,score,latency_sec,first_thinking_sec,first_response_sec,think_to_response_gap_sec,thinking_tail_sec,prompt_chars,thinking_chars,response_chars,parsed_response,error
frontier_calibration_26b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_calibration_26b.jsonl,gemma4:26b,think_true,mmlu_cf-0,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,30.1639,5.2514,29.9008,24.6494,24.9125,174,1372,1,B,
frontier_pilot_26b_safe_thinktrue_ctx256k_20260409,datasets/frontier/frontier_pilot_26b_safe.jsonl,gemma4:26b,think_true,mmlu_cf-0,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,34.0188,5.199,33.6114,28.4124,28.8198,174,1299,1,B,
frontier_calibration_26b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_calibration_26b.jsonl,gemma4:26b,think_true,mmlu_cf-1,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,30.099,4.1936,30.0182,25.8246,25.9054,161,1016,1,A,
frontier_pilot_26b_safe_thinktrue_ctx256k_20260409,datasets/frontier/frontier_pilot_26b_safe.jsonl,gemma4:26b,think_true,mmlu_cf-1,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,39.0456,2.866,38.7508,35.8848,36.1796,161,1234,1,A,
frontier_calibration_26b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_calibration_26b.jsonl,gemma4:26b,think_true,mmlu_cf-2,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,32.0405,3.6305,31.5779,27.9474,28.41,240,1611,1,D,
frontier_pilot_26b_safe_thinktrue_ctx256k_20260409,datasets/frontier/frontier_pilot_26b_safe.jsonl,gemma4:26b,think_true,mmlu_cf-2,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,39.5826,3.0699,39.4566,36.3867,36.5127,240,1626,1,D,
frontier_calibration_26b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_calibration_26b.jsonl,gemma4:26b,think_true,mmlu_cf-3,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,39.6256,11.8328,39.3577,27.5249,27.7928,169,909,1,B,
frontier_pilot_26b_safe_thinktrue_ctx256k_20260409,datasets/frontier/frontier_pilot_26b_safe.jsonl,gemma4:26b,think_true,mmlu_cf-3,mmlu_cf,contamination_controlled_reasoning,en,ok,1.0,39.2586,3.254,38.9389,35.6849,36.0046,169,1069,1,B,
frontier_calibration_26b_thinktrue_ctx256k_20260408,datasets/frontier/frontier_calibration_26b.jsonl,gemma4:26b,think_true,mmlu_pro-70,mmlu_pro,reasoning_knowledge,en,ok,1.0,84.1655,32.0543,83.9496,51.8953,52.1112,623,2554,1,I,
frontier_pilot_26b_safe_thinktrue_ctx256k_20260409,datasets/frontier/frontier_pilot_26b_safe.jsonl,gemma4:26b,think_true,mmlu_pro-70,mmlu_pro,reasoning_knowledge,en,ok,1.0,127.657,30.7845,127.2817,96.4972,96.8725,623,3677,1,I,
frontier_pilot_26b_safe_thinktrue_ctx256k_20260409,datasets/frontier/frontier_pilot_26b_safe.jsonl,gemma4:26b,think_true,mmlu_pro-71,mmlu_pro,reasoning_knowledge,en,ok,1.0,273.2825,5.3616,272.9033,267.5417,267.9209,673,8106,1,F,
